제목,링크,날짜
"'이 폰은…' 손흥민, 팬 셀카 요청에 두 손 모아 거절한 이유",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12143871,JTBC언론사 선정
손흥민의 '아이폰 노터치'는 계약 사항? 삼성 측 답변은...,https://www.ytn.co.kr/_ln/0102_202309131410040708,YTN언론사 선정
얼음주머니 감은 손흥민 모습에…외신들 '부상 우려',http://www.newsis.com/view/?id=NISX20230913_0002448345&cID=10523&pID=10500,뉴시스
"팬 ‘셀카’ 거절한 손흥민, 오히려 칭찬받는 이유",https://www.seoul.co.kr/news/newsView.php?id=20230912500082&wlog_tag3=naver,서울신문언론사 선정
"손흥민, 팬 셀카 거절…""아이폰은 안 돼요"" 만지지도 않는다 왜",https://www.joongang.co.kr/article/25191841,중앙일보언론사 선정
"""국대캠에 갤Z플립5 자랑한 손흥민""...'아이폰 노터치'는 계약 사항?",http://www.edaily.co.kr/news/newspath.asp?newsid=02751926635739792,이데일리언론사 선정
"손흥민이 셀카 거절?…""아이폰 No! 갤럭시만 가능해요""",https://www.hankyung.com/article/2023091215127,한국경제언론사 선정
손흥민 돌파!,https://www.yna.co.kr/view/PYH20230913003200013?input=1196m,연합뉴스
"클린스만호, 5전 6기 끝에 '첫 승'…'월클' 손흥민·김민재 빛났다",http://news.tvchosun.com/site/data/html_dir/2023/09/13/2023091390214.html,TV조선
'무자비한 골 결정력' 손흥민→토트넘의 새로운 PK 키커 유력,https://mydaily.co.kr/page/view/2023091310543001969,마이데일리
